Species,Order,Family,Genus,Main biogeographic region,Microhabitat,Habitat type,Minimal elevation (m),Maximum elevation (m),Diet ,Active time,Foraging mode,Maximum Longevity (years),Maximum body mass (g),"Maximum female length (""SVL"", mm)/straight carapace length for turtles (""SCL"", mm)","Maximum male length (""SVL"", mm)/straight carapace length for turtles (""SCL"", mm)","Maximum juvenile length (""SVL"", mm)/straight carapace length for turtles (""SCL"", mm)",Hatchling/neonate mass (g),Reproductive mode,Mean number of offspring per litter or number of eggs per clutch,Smallest clutch size,Largest clutch size,Number of litters or clutches produced per year,Egg length (mm),Egg width (mm),Mean Tb,Minimum Tb,Maximum Tb
Geckolepis polylepis,Squamata,Gekkonidae,Geckolepis,Madagascan,Arboreal,Forest,NA,NA,Omnivorous,Nocturnal,NA,NA,3.0,NA,NA,NA,NA,oviparous,2.0,NA,NA,NA,NA,NA,NA,NA,NA
Geckolepis typica,Squamata,Gekkonidae,Geckolepis,Madagascan,Arboreal,Forest,514,1006,Omnivorous,Nocturnal,NA,10.0,5.4,NA,NA,29,NA,oviparous,2.0,2,2,NA,NA,NA,NA,NA,NA
Gehyra angusticaudata,Squamata,Gekkonidae,Gehyra,Oriental,NA,Forest,NA,NA,NA,Nocturnal,NA,NA,4.1,53,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gehyra arnhemica,Squamata,Gekkonidae,Gehyra,Australo-Pacific,Arboreal/Saxicolous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA
Gehyra australis,Squamata,Gekkonidae,Gehyra,Australo-Pacific,Arboreal/Saxicolous,Forest/Savanna/Shrubland,67,427,Omnivorous,Nocturnal,NA,10.0,10.7,65.8,NA,29,NA,oviparous,2.0,1,2,NA,NA,NA,NA,NA,NA
Gehyra baliola,Squamata,Gekkonidae,Gehyra,Australo-Pacific,Arboreal/Saxicolous,Forest,0,1400,Omnivorous,Nocturnal,ACT,NA,21.9,72,NA,NA,NA,oviparous,2.0,NA,NA,NA,NA,NA,NA,NA,NA
Gehyra barea,Squamata,Gekkonidae,Gehyra,Australo-Pacific,Arboreal,Forest,31,1221,NA,NA,NA,NA,21.9,88.1,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gehyra borroloola,Squamata,Gekkonidae,Gehyra,Australo-Pacific,Saxicolous,Forest/Grassland/Rocky,67,427,Carnivorous,Nocturnal,NA,NA,6.9,NA,NA,NA,NA,oviparous,2.0,2,2,NA,NA,NA,NA,NA,NA
Gehyra brevipalmata,Squamata,Gekkonidae,Gehyra,Australo-Pacific,Arboreal/Saxicolous,Forest,69,994,Omnivorous,NA,NA,NA,13.8,69.5,NA,NA,NA,oviparous,1.5,1,2,NA,NA,NA,NA,NA,NA
Gehyra calcitectus,Squamata,Gekkonidae,Gehyra,Australo-Pacific,Saxicolous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gehyra capensis,Squamata,Gekkonidae,Gehyra,Australo-Pacific,Arboreal/Saxicolous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,oviparous,1.0,NA,NA,NA,NA,NA,NA,NA,NA
Gehyra catenata,Squamata,Gekkonidae,Gehyra,Australo-Pacific,Arboreal,Forest/Savanna,43,310,Carnivorous,Nocturnal,NA,NA,3.7,NA,NA,NA,NA,oviparous,2.0,2,2,NA,NA,NA,NA,NA,NA
Gehyra chimera,Squamata,Gekkonidae,Gehyra,Australo-Pacific,Arboreal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gehyra crypta,Squamata,Gekkonidae,Gehyra,Australo-Pacific,Arboreal/Saxicolous,NA,NA,NA,NA,NA,NA,NA,4.0,NA,NA,NA,NA,oviparous,1.0,NA,NA,NA,NA,NA,NA,NA,NA
Gehyra dubia,Squamata,Gekkonidae,Gehyra,Australo-Pacific,Arboreal/Saxicolous,Forest/Rocky/Savanna/Shrubland,0,100,Omnivorous,Nocturnal,NA,NA,10.2,59.6,NA,27.3,NA,oviparous,2.0,2,2,NA,NA,NA,NA,NA,NA
Gehyra einasleighensis,Squamata,Gekkonidae,Gehyra,Australo-Pacific,Saxicolous/Terrestrial,Rocky,NA,NA,NA,Nocturnal,NA,NA,1.6,NA,NA,NA,NA,oviparous,1.0,NA,NA,NA,NA,NA,NA,NA,NA
Gehyra electrum,Squamata,Gekkonidae,Gehyra,Australo-Pacific,Arboreal/Saxicolous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gehyra fehlmanni,Squamata,Gekkonidae,Gehyra,Oriental,Saxicolous/Terrestrial,Forest/Rocky,48,1254,NA,Nocturnal,NA,NA,3.0,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gehyra fenestrula,Squamata,Gekkonidae,Gehyra,Australo-Pacific,Saxicolous,NA,NA,NA,NA,NA,NA,NA,2.5,NA,NA,NA,NA,oviparous,1.0,NA,NA,NA,NA,NA,NA,NA,NA
Gehyra finipunctata,Squamata,Gekkonidae,Gehyra,Australo-Pacific,Saxicolous,NA,NA,NA,NA,NA,NA,NA,3.8,NA,NA,NA,NA,oviparous,1.0,NA,NA,NA,NA,NA,NA,NA,NA
Gehyra gemina,Squamata,Gekkonidae,Gehyra,Australo-Pacific,Arboreal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gehyra georgpotthasti,Squamata,Gekkonidae,Gehyra,Australo-Pacific,Arboreal,Forest,NA,NA,NA,Nocturnal,NA,NA,50.1,104.7,NA,41,NA,oviparous,2.0,2,2,NA,NA,NA,NA,NA,NA
Gehyra girloorloo,Squamata,Gekkonidae,Gehyra,Australo-Pacific,Arboreal/Saxicolous,Rocky/Shrubland,NA,NA,NA,Nocturnal,NA,NA,2.4,NA,NA,NA,NA,oviparous,1.0,1,1,NA,NA,NA,NA,NA,NA
Gehyra granulum,Squamata,Gekkonidae,Gehyra,Australo-Pacific,Saxicolous,NA,NA,NA,NA,NA,NA,NA,2.2,NA,NA,NA,NA,oviparous,1.0,NA,NA,NA,NA,NA,NA,NA,NA
Gehyra incognita,Squamata,Gekkonidae,Gehyra,Australo-Pacific,Saxicolous/Terrestrial,NA,NA,NA,NA,NA,NA,NA,3.2,NA,NA,NA,NA,oviparous,1.0,NA,NA,NA,NA,NA,NA,NA,NA
Gehyra insulensis,Squamata,Gekkonidae,Gehyra,Australo-Pacific,Arboreal,Forest,NA,NA,Carnivorous,Nocturnal,AMB,NA,2.8,46,NA,20.5,NA,oviparous,2.0,2,2,NA,NA,NA,NA,NA,NA
Gehyra interstitialis,Squamata,Gekkonidae,Gehyra,Australo-Pacific,NA,NA,0,200,NA,NA,NA,NA,15.5,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gehyra ipsa,Squamata,Gekkonidae,Gehyra,Australo-Pacific,Arboreal/Saxicolous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA
Gehyra kimberleyi,Squamata,Gekkonidae,Gehyra,Australo-Pacific,Arboreal/Saxicolous/Terrestrial,Rocky/Savanna,NA,NA,NA,NA,NA,NA,4.9,36,NA,NA,NA,oviparous,1.0,1,1,NA,NA,NA,NA,NA,NA
Gehyra koira,Squamata,Gekkonidae,Gehyra,Australo-Pacific,Arboreal/Saxicolous,Caves/Rocky/Subterranean,67,427,Carnivorous,Nocturnal,NA,NA,17.0,75.4,NA,NA,NA,oviparous,2.0,NA,NA,NA,NA,NA,NA,NA,NA
Gehyra lacerata,Squamata,Gekkonidae,Gehyra,Oriental,Arboreal/Saxicolous/Terrestrial,Forest,85,901,NA,Nocturnal,NA,NA,4.5,53.2,NA,NA,NA,oviparous,2.0,2,2,NA,NA,NA,NA,NA,NA
Gehyra lapistola,Squamata,Gekkonidae,Gehyra,Australo-Pacific,Arboreal/Saxicolous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gehyra lauta,Squamata,Gekkonidae,Gehyra,Australo-Pacific,Arboreal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gehyra lazelli,Squamata,Gekkonidae,Gehyra,Australo-Pacific,Arboreal/Saxicolous,Rocky,161,592,Carnivorous,Nocturnal,NA,NA,5.1,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gehyra leopoldi,Squamata,Gekkonidae,Gehyra,Australo-Pacific,NA,NA,0,300,NA,NA,NA,NA,2.0,44,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gehyra macra,Squamata,Gekkonidae,Gehyra,Australo-Pacific,Saxicolous,NA,NA,NA,NA,NA,NA,NA,8.1,NA,NA,NA,NA,oviparous,1.0,NA,NA,NA,NA,NA,NA,NA,NA
Gehyra marginata,Squamata,Gekkonidae,Gehyra,Australo-Pacific,Arboreal,Forest,63,1032,NA,NA,NA,NA,50.1,130,NA,NA,NA,oviparous,2.0,NA,NA,NA,NA,NA,NA,NA,NA
Gehyra media,Squamata,Gekkonidae,Gehyra,Australo-Pacific,Saxicolous/Terrestrial,NA,NA,NA,NA,NA,NA,NA,2.8,NA,NA,NA,NA,oviparous,1.0,NA,NA,NA,NA,NA,NA,NA,NA
Gehyra membranacruralis,Squamata,Gekkonidae,Gehyra,Australo-Pacific,Arboreal,Forest,0,700,NA,NA,NA,NA,39.8,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gehyra micra,Squamata,Gekkonidae,Gehyra,Australo-Pacific,Saxicolous/Terrestrial,NA,NA,NA,NA,NA,NA,NA,2.3,NA,NA,NA,NA,oviparous,1.0,NA,NA,NA,NA,NA,NA,NA,NA
Gehyra minuta,Squamata,Gekkonidae,Gehyra,Australo-Pacific,Saxicolous,Desert/Rocky,209,518,Carnivorous,Nocturnal,NA,NA,2.1,NA,NA,NA,NA,oviparous,1.0,NA,NA,NA,NA,NA,NA,NA,NA
Gehyra montium,Squamata,Gekkonidae,Gehyra,Australo-Pacific,Saxicolous,Rocky,209,518,Carnivorous,Nocturnal,NA,NA,3.0,NA,NA,24.5,NA,oviparous,1.5,2,2,NA,NA,NA,NA,NA,NA
Gehyra moritzi,Squamata,Gekkonidae,Gehyra,Australo-Pacific,Saxicolous,Desert/Rocky,NA,NA,NA,Nocturnal,NA,NA,2.6,NA,NA,NA,NA,oviparous,2.0,NA,NA,NA,NA,NA,NA,NA,NA
Gehyra multiporosa,Squamata,Gekkonidae,Gehyra,Australo-Pacific,Arboreal/Saxicolous,Forest/Grassland/Rocky/Savanna/Wetlands,182,565,NA,NA,NA,NA,3.6,NA,NA,NA,NA,oviparous,1.0,NA,NA,NA,NA,NA,NA,NA,NA
Gehyra mutilata,Squamata,Gekkonidae,Gehyra,Oriental,Arboreal,Forest,0,1400,Omnivorous,Nocturnal,AMB,9.3,5.5,51.1,NA,20.5,NA,oviparous,1.8,1,3,3.0,NA,NA,NA,NA,NA
Gehyra nana,Squamata,Gekkonidae,Gehyra,Australo-Pacific,Saxicolous/Terrestrial,Rocky,182,565,Carnivorous,Nocturnal,NA,NA,3.5,NA,NA,23,NA,oviparous,1.5,1,2,NA,NA,NA,NA,NA,NA
Gehyra occidentalis,Squamata,Gekkonidae,Gehyra,Australo-Pacific,Saxicolous,Rocky,182,565,Carnivorous,Nocturnal,NA,NA,8.9,NA,NA,25,NA,oviparous,1.5,NA,NA,NA,NA,NA,NA,NA,NA
Gehyra oceanica,Squamata,Gekkonidae,Gehyra,Australo-Pacific,Arboreal,Forest,63,1032,Carnivorous,Nocturnal,AMB,15.5,20.0,74.8,NA,31,NA,oviparous,1.8,1,2,NA,NA,NA,NA,NA,NA
Gehyra ocellata,Squamata,Gekkonidae,Gehyra,Australo-Pacific,NA,NA,NA,NA,NA,NA,NA,NA,2.6,NA,NA,NA,NA,oviparous,1.0,NA,NA,NA,NA,NA,NA,NA,NA
Gehyra pamela,Squamata,Gekkonidae,Gehyra,Australo-Pacific,Saxicolous,Rocky,67,427,Carnivorous,Nocturnal,NA,NA,8.7,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gehyra papuana,Squamata,Gekkonidae,Gehyra,Australo-Pacific,Arboreal,NA,0,600,NA,NA,AMB,NA,18.6,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gehyra paranana,Squamata,Gekkonidae,Gehyra,Australo-Pacific,Saxicolous,NA,NA,NA,NA,NA,NA,NA,4.0,NA,NA,NA,NA,oviparous,1.0,NA,NA,NA,NA,NA,NA,NA,NA
Gehyra peninsularis,Squamata,Gekkonidae,Gehyra,Australo-Pacific,Saxicolous/Terrestrial,NA,NA,NA,NA,NA,NA,NA,2.6,NA,NA,NA,NA,oviparous,1.0,NA,NA,NA,NA,NA,NA,NA,NA
Gehyra pilbara,Squamata,Gekkonidae,Gehyra,Australo-Pacific,Arboreal/Saxicolous/Terrestrial,Forest/Rocky/Shrubland,209,518,Carnivorous,Nocturnal,NA,NA,6.0,42,NA,22,NA,oviparous,1.0,1,1,NA,NA,NA,NA,NA,NA
Gehyra pluraporosa,Squamata,Gekkonidae,Gehyra,Australo-Pacific,Saxicolous,NA,NA,NA,NA,NA,NA,NA,2.3,NA,NA,NA,NA,oviparous,1.0,NA,NA,NA,NA,NA,NA,NA,NA
Gehyra polka,Squamata,Gekkonidae,Gehyra,Australo-Pacific,Saxicolous,NA,NA,NA,NA,NA,NA,NA,4.9,NA,NA,NA,NA,oviparous,1.0,NA,NA,NA,NA,NA,NA,NA,NA
Gehyra pseudopunctata,Squamata,Gekkonidae,Gehyra,Australo-Pacific,Saxicolous,NA,NA,NA,NA,NA,NA,NA,4.2,NA,NA,NA,NA,oviparous,1.0,NA,NA,NA,NA,NA,NA,NA,NA
Gehyra pulingka,Squamata,Gekkonidae,Gehyra,Australo-Pacific,Saxicolous,Rocky,NA,NA,NA,NA,NA,NA,2.6,NA,NA,NA,NA,oviparous,1.5,NA,NA,NA,NA,NA,NA,NA,NA
Gehyra punctata,Squamata,Gekkonidae,Gehyra,Australo-Pacific,Saxicolous,Caves/Rocky/Subterranean,270,350,Carnivorous,Nocturnal,NA,NA,5.8,49.3,NA,23,NA,oviparous,1.5,1,2,NA,NA,NA,27.6,NA,NA
Gehyra purpurascens,Squamata,Gekkonidae,Gehyra,Australo-Pacific,Arboreal/Saxicolous,Savanna/Shrubland,234,566,Omnivorous,Nocturnal,NA,NA,6.3,56.2,NA,24,NA,oviparous,1.1,1,2,NA,NA,NA,NA,NA,NA
Gehyra robusta,Squamata,Gekkonidae,Gehyra,Australo-Pacific,Saxicolous/Terrestrial,Rocky,67,427,Carnivorous,Nocturnal,NA,NA,8.7,NA,NA,NA,NA,oviparous,2.0,2,2,NA,NA,NA,NA,NA,NA
Gehyra rohan,Squamata,Gekkonidae,Gehyra,Australo-Pacific,Arboreal,NA,NA,NA,NA,Nocturnal,NA,NA,58.9,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gehyra serraticauda,Squamata,Gekkonidae,Gehyra,Australo-Pacific,NA,Forest,150,160,NA,NA,NA,NA,31.6,NA,NA,NA,NA,oviparous,1.0,NA,NA,NA,NA,NA,NA,NA,NA
Gehyra spheniscus,Squamata,Gekkonidae,Gehyra,Australo-Pacific,Saxicolous,Rocky,168,583,NA,NA,NA,NA,2.2,NA,NA,NA,NA,oviparous,1.0,1,1,NA,NA,NA,NA,NA,NA
Gehyra unguiculata,Squamata,Gekkonidae,Gehyra,Australo-Pacific,Terrestrial,NA,NA,NA,NA,NA,NA,NA,1.4,NA,NA,NA,NA,oviparous,1.0,NA,NA,NA,NA,NA,NA,NA,NA
Gehyra variegata,Squamata,Gekkonidae,Gehyra,Australo-Pacific,Arboreal/Saxicolous,Grassland/Rocky/Savanna/Shrubland,240,570,Carnivorous,Nocturnal,AMB,26.0,7.4,49.3,NA,23,NA,oviparous,1.0,1,2,1.5,NA,NA,27.7,NA,NA
Gehyra versicolor,Squamata,Gekkonidae,Gehyra,Australo-Pacific,Arboreal/Saxicolous/Terrestrial,Forest/Rocky/Savanna/Shrubland,NA,NA,NA,Cathemeral,NA,NA,4.3,NA,NA,NA,NA,oviparous,1.0,NA,NA,NA,NA,NA,NA,NA,NA
Gehyra vorax,Squamata,Gekkonidae,Gehyra,Australo-Pacific,Arboreal,Forest,0,500,Herbivorous,Cathemeral,NA,NA,109.6,134,NA,35,NA,oviparous,2.0,1,2,NA,NA,NA,NA,NA,NA
Gehyra wongchan,Squamata,Gekkonidae,Gehyra,Oriental,Arboreal/Saxicolous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA
Gehyra xenopus,Squamata,Gekkonidae,Gehyra,Australo-Pacific,Saxicolous,Caves/Rocky/Subterranean,151,604,Carnivorous,Nocturnal,NA,NA,10.0,NA,NA,26,NA,oviparous,2.0,1,2,NA,NA,NA,NA,NA,NA
Gekko aaronbaueri,Squamata,Gekkonidae,Gekko,Oriental,Saxicolous,Caves/Forest/Rocky/Subterranean,NA,NA,NA,Nocturnal,AMB,NA,10.2,72.1,NA,NA,NA,oviparous,2.0,2,2,NA,NA,NA,NA,NA,NA
Gekko adleri,Squamata,Gekkonidae,Gekko,Oriental,Saxicolous,Forest,380,700,Carnivorous,Cathemeral,NA,NA,8.7,69,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gekko albofasciolatus,Squamata,Gekkonidae,Gekko,Oriental,NA,NA,NA,NA,NA,Nocturnal,NA,NA,75.9,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gekko albomaculatus,Squamata,Gekkonidae,Gekko,Oriental,Arboreal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gekko athymus,Squamata,Gekkonidae,Gekko,Oriental,Arboreal/Terrestrial,Forest,60,650,NA,Nocturnal,NA,NA,31.6,102.7,NA,34.3,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gekko auriverrucosus,Squamata,Gekkonidae,Gekko,Palearctic,Arboreal,NA,246,887,NA,Nocturnal,NA,NA,6.9,58.5,NA,31,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gekko badenii,Squamata,Gekkonidae,Gekko,Oriental,Saxicolous,Forest/Rocky,980,990,Carnivorous,Nocturnal,NA,NA,47.9,84.8,NA,NA,NA,oviparous,2.0,2,2,NA,NA,NA,NA,NA,NA
Gekko bannaense,Squamata,Gekkonidae,Gekko,Oriental,Arboreal,Forest,NA,NA,NA,NA,NA,NA,13.2,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gekko boehmei,Squamata,Gekkonidae,Gekko,Oriental,Saxicolous,Forest/Rocky,190,200,NA,Nocturnal,NA,NA,21.9,78.8,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gekko bonkowskii,Squamata,Gekkonidae,Gekko,Oriental,Arboreal,Caves/Forest/Subterranean,NA,NA,NA,Nocturnal,NA,NA,6.9,69.2,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gekko brooksii,Squamata,Gekkonidae,Gekko,Oriental,NA,NA,NA,NA,NA,Nocturnal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gekko browni,Squamata,Gekkonidae,Gekko,Oriental,Arboreal,Forest,NA,NA,NA,Nocturnal,NA,NA,6.2,NA,NA,28.8,NA,oviparous,NA,1,2,NA,NA,NA,NA,NA,NA
Gekko canaensis,Squamata,Gekkonidae,Gekko,Oriental,Saxicolous,Rocky,NA,NA,NA,Nocturnal,NA,NA,28.2,88.5,NA,NA,NA,oviparous,2.0,2,2,NA,NA,NA,NA,NA,NA
Gekko canhi,Squamata,Gekkonidae,Gekko,Oriental,Saxicolous,Forest,200,1500,NA,Nocturnal,NA,NA,18.6,92.4,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gekko carusadensis,Squamata,Gekkonidae,Gekko,Oriental,Saxicolous,Rocky,66,327,NA,Nocturnal,NA,NA,17.8,83.7,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gekko chinensis,Squamata,Gekkonidae,Gekko,Oriental,Arboreal,Forest,0,950,Carnivorous,Nocturnal,NA,NA,10.2,62.8,NA,24,NA,oviparous,2.0,2,2,NA,NA,NA,NA,NA,NA
Gekko cib,Squamata,Gekkonidae,Gekko,Oriental,Saxicolous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gekko cicakterbang,Squamata,Gekkonidae,Gekko,Oriental,Arboreal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gekko coi,Squamata,Gekkonidae,Gekko,Oriental,Arboreal/Saxicolous,Forest/Rocky,0,10,NA,Nocturnal,NA,NA,11.7,74.6,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gekko crombota,Squamata,Gekkonidae,Gekko,Oriental,Arboreal,Forest,20,360,NA,Nocturnal,NA,NA,30.2,98.7,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gekko ernstkelleri,Squamata,Gekkonidae,Gekko,Oriental,Arboreal/Saxicolous/Terrestrial,Caves/Forest/Rocky/Subterranean,0,300,NA,Nocturnal,NA,NA,15.1,79.2,NA,35.1,NA,oviparous,2.0,2,2,NA,NA,NA,NA,NA,NA
Gekko flavimaritus,Squamata,Gekkonidae,Gekko,Oriental,Arboreal/Saxicolous/Terrestrial,NA,104,152,NA,NA,NA,NA,12.0,NA,NA,NA,NA,oviparous,2.0,NA,NA,NA,NA,NA,NA,NA,NA
Gekko gecko,Squamata,Gekkonidae,Gekko,Oriental,Arboreal,Forest,0,1100,Carnivorous,Nocturnal,Mixed,23.6,169.8,129.7,NA,45,NA,oviparous,2.0,1,3,7.0,NA,NA,NA,NA,NA
Gekko gigante,Squamata,Gekkonidae,Gekko,Oriental,Saxicolous,Caves/Rocky/Subterranean,0,10,NA,Nocturnal,NA,NA,21.9,80.2,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gekko grossmanni,Squamata,Gekkonidae,Gekko,Oriental,NA,Forest,574,791,Carnivorous,Nocturnal,NA,NA,14.1,77.1,NA,30.5,NA,oviparous,1.5,1,2,NA,NA,NA,NA,NA,NA
Gekko guishanicus,Squamata,Gekkonidae,Gekko,Oriental,Saxicolous/Terrestrial,NA,NA,NA,NA,Nocturnal,NA,NA,5.5,62,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gekko gulat,Squamata,Gekkonidae,Gekko,Oriental,Arboreal,Forest,NA,NA,NA,Nocturnal,NA,NA,10.7,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gekko hokouensis,Squamata,Gekkonidae,Gekko,Oriental,Arboreal,Forest/Rocky/Shrubland,297,1007,Carnivorous,Nocturnal,Mixed,NA,12.3,71.4,NA,NA,NA,oviparous,2.0,2,2,NA,NA,NA,NA,NA,NA
Gekko horsfieldii,Squamata,Gekkonidae,Gekko,Oriental,Arboreal,Forest,NA,NA,Carnivorous,Nocturnal,NA,NA,17.0,NA,NA,34,NA,oviparous,2.0,2,2,NA,NA,NA,NA,NA,NA
Gekko hulk,Squamata,Gekkonidae,Gekko,Oriental,Arboreal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gekko intermedium,Squamata,Gekkonidae,Gekko,Oriental,Arboreal,Forest,468,746,NA,Nocturnal,NA,NA,19.1,93.9,NA,28,NA,oviparous,2.0,2,2,NA,NA,NA,NA,NA,NA
Gekko iskandari,Squamata,Gekkonidae,Gekko,Oriental,NA,Forest,80,200,NA,Nocturnal,NA,NA,6.9,69.4,NA,NA,NA,oviparous,2.0,2,2,NA,NA,NA,NA,NA,NA
Gekko japonicus,Squamata,Gekkonidae,Gekko,Oriental,Saxicolous,Forest,400,1400,Omnivorous,Nocturnal,NA,NA,12.0,64.5,NA,27.3,NA,oviparous,1.9,2,2,NA,NA,NA,NA,NA,NA
Gekko jinjiangensis,Squamata,Gekkonidae,Gekko,Oriental,Arboreal/Saxicolous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gekko kabkaebin,Squamata,Gekkonidae,Gekko,Oriental,Saxicolous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gekko kaengkrachanense,Squamata,Gekkonidae,Gekko,Oriental,Arboreal,Forest,NA,NA,Carnivorous,Nocturnal,NA,NA,12.6,79,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gekko khunkhamensis,Squamata,Gekkonidae,Gekko,Oriental,Saxicolous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gekko kikuchii,Squamata,Gekkonidae,Gekko,Oriental,NA,Forest/Shrubland,25,961,NA,Nocturnal,NA,NA,10.2,NA,NA,NA,NA,oviparous,2.0,2,2,NA,NA,NA,NA,NA,NA
Gekko kuhli,Squamata,Gekkonidae,Gekko,Oriental,Arboreal,Forest,800,1500,Carnivorous,Nocturnal,NA,NA,23.4,93.2,NA,33,NA,oviparous,2.0,1,2,NA,NA,NA,NA,NA,NA
Gekko kwangsiensis,Squamata,Gekkonidae,Gekko,Oriental,Saxicolous,Caves/Forest/Subterranean,NA,NA,NA,Nocturnal,NA,NA,7.1,65.5,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gekko lauhachindai,Squamata,Gekkonidae,Gekko,Oriental,Saxicolous,Caves/Subterranean,NA,NA,Carnivorous,Nocturnal,NA,NA,18.2,88.5,NA,NA,NA,oviparous,2.0,NA,NA,NA,NA,NA,NA,NA,NA
Gekko liboensis,Squamata,Gekkonidae,Gekko,Oriental,Saxicolous,Forest,NA,NA,NA,Nocturnal,NA,NA,14.8,78.8,NA,NA,NA,oviparous,2.0,2,2,NA,NA,NA,NA,NA,NA
Gekko lionotum,Squamata,Gekkonidae,Gekko,Oriental,Arboreal,Forest,0,700,Carnivorous,Nocturnal,NA,NA,20.9,93.9,NA,31.4,NA,oviparous,2.0,1,2,NA,NA,NA,NA,NA,NA
Gekko melli,Squamata,Gekkonidae,Gekko,Oriental,Arboreal/Saxicolous,Forest,130,640,NA,Nocturnal,NA,NA,12.0,68.1,NA,29,NA,oviparous,2.0,NA,NA,NA,NA,NA,NA,NA,NA
